T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.4700,5.33140981e-01,2.94854602e+00,2.94854602e+00,5.08064015e-01,2.80985739e+00,2.80985739e+00,1.59337385e-01,8.81218342e-01,8.81218342e-01,5.20451484e-01,5.37159083e-01,5.11893120e-01,5.24373949e-01
0.4800,6.01118185e-01,3.46802416e+00,3.46802416e+00,5.28564138e-01,3.04943895e+00,3.04943895e+00,1.52281157e-01,8.78553910e-01,8.78553910e-01,5.63675008e-01,6.05745741e-01,5.32633156e-01,5.68014318e-01
0.4900,6.84454803e-01,4.11572517e+00,4.11572517e+00,5.48235013e-01,3.29661599e+00,3.29661599e+00,1.37993085e-01,8.29772267e-01,8.29772267e-01,6.12570068e-01,6.89834541e-01,5.52544079e-01,6.17384800e-01
0.5000,7.33741889e-01,4.59475568e+00,4.59475568e+00,5.68130232e-01,3.55768104e+00,3.55768104e+00,1.42890860e-01,8.94795023e-01,8.94795023e-01,6.45647698e-01,7.39627659e-01,5.72687535e-01,6.50826813e-01
0.5100,7.79267985e-01,5.07780440e+00,5.07780440e+00,6.22704150e-01,4.05761552e+00,4.05761552e+00,1.57997176e-01,1.02952870e+00,1.02952870e+00,6.96601327e-01,7.85644989e-01,6.27799941e-01,7.02301842e-01
0.5200,8.11071959e-01,5.49521320e+00,5.49521320e+00,6.93667278e-01,4.69976743e+00,4.69976743e+00,1.67866157e-01,1.13733475e+00,1.13733475e+00,7.50076048e-01,8.17840453e-01,6.99456016e-01,7.56335524e-01
0.5300,8.21682804e-01,5.78421080e+00,5.78421080e+00,7.56508616e-01,5.32541911e+00,5.32541911e+00,1.76155668e-01,1.24004240e+00,1.24004240e+00,7.88422552e-01,8.28672835e-01,7.62944212e-01,7.95129639e-01
0.5400,8.29332544e-01,6.06141635e+00,6.06141635e+00,7.92117812e-01,5.78942174e+00,5.78942174e+00,1.83674712e-01,1.34243966e+00,1.34243966e+00,8.10511616e-01,8.36521920e-01,7.98984579e-01,8.17537836e-01
0.5500,8.33925336e-01,6.32382963e+00,6.32382963e+00,7.99862318e-01,6.06552266e+00,6.06552266e+00,1.87834456e-01,1.42438783e+00,1.42438783e+00,8.16716262e-01,8.41289583e-01,8.06925760e-01,8.23928538e-01
0.5600,8.23580992e-01,6.47559558e+00,6.47559558e+00,8.09500892e-01,6.36488755e+00,6.36488755e+00,1.90541947e-01,1.49818002e+00,1.49818002e+00,8.16510592e-01,8.30987314e-01,8.16780593e-01,8.23853331e-01
0.5700,8.67307480e-01,7.06626467e+00,7.06626467e+00,8.39174765e-01,6.83705736e+00,6.83705736e+00,1.97117763e-01,1.60598902e+00,1.60598902e+00,8.53125167e-01,8.75247579e-01,8.46857312e-01,8.60935428e-01
0.5800,9.32075737e-01,7.86400979e+00,7.86400979e+00,8.72164928e-01,7.35853671e+00,7.35853671e+00,2.00392124e-01,1.69072701e+00,1.69072701e+00,9.01622853e-01,9.40759879e-01,8.80290882e-01,9.10023265e-01
0.5900,9.45408451e-01,8.25524807e+00,8.25524807e+00,8.96421414e-01,7.82749629e+00,7.82749629e+00,1.97448785e-01,1.72411057e+00,1.72411057e+00,9.20589148e-01,9.54370122e-01,9.04918729e-01,9.29315553e-01
0.6000,9.81005748e-01,8.86034145e+00,8.86034145e+00,8.63348255e-01,7.79767127e+00,7.79767127e+00,1.90279396e-01,1.71858363e+00,1.71858363e+00,9.20298648e-01,9.90463982e-01,8.71672111e-01,9.29171583e-01
0.6100,1.01993192e+00,9.52307166e+00,9.52307166e+00,8.20562318e-01,7.66156406e+00,7.66156406e+00,1.84215901e-01,1.72001797e+00,1.72001797e+00,9.14832062e-01,1.02993096e+00,8.28606807e-01,9.23800736e-01
0.6200,1.05421656e+00,1.01701935e+01,1.01701935e+01,7.96751561e-01,7.68638800e+00,7.68638800e+00,1.83715990e-01,1.77233713e+00,1.77233713e+00,9.16487147e-01,1.06472283e+00,8.04691945e-01,9.25620809e-01
0.6300,1.05890670e+00,1.05493235e+01,1.05493235e+01,8.53371885e-01,8.50168962e+00,8.50168962e+00,1.87343016e-01,1.86639870e+00,1.86639870e+00,9.50600444e-01,1.06963164e+00,8.62015105e-01,9.60228425e-01
0.6400,1.01548296e+00,1.04421092e+01,1.04421092e+01,9.37061197e-01,9.63570608e+00,9.63570608e+00,1.89103807e-01,1.94453544e+00,1.94453544e+00,9.75484331e-01,1.02593303e+00,9.46704247e-01,9.85522784e-01
0.6500,9.43876182e-01,1.00130692e+01,1.00130692e+01,1.00738310e+00,1.06867796e+01,1.06867796e+01,1.83502182e-01,1.94667488e+00,1.94667488e+00,9.75112770e-01,9.53742718e-01,1.01791349e+00,9.85305829e-01
0.6600,8.99487719e-01,9.83962248e+00,9.83962248e+00,1.02874133e+00,1.12535459e+01,1.12535459e+01,1.70150148e-01,1.86129636e+00,1.86129636e+00,9.61946045e-01,9.09036443e-01,1.03966218e+00,9.72157811e-01
0.6700,8.30351517e-01,9.36217544e+00,9.36217544e+00,9.98162310e-01,1.12542345e+01,1.12542345e+01,1.59551734e-01,1.79893852e+00,1.79893852e+00,9.10398587e-01,8.39301306e-01,1.00892082e+00,9.20211150e-01
