T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.6000,1.28280232e-01,1.15861365e+00,1.15861365e+00,9.35715772e-02,8.45128712e-01,8.45128712e-01,5.76249378e-02,5.20462419e-01,5.20462419e-01,1.09559954e-01,1.29517028e-01,9.44737349e-02,1.10616262e-01
0.6100,1.28782943e-01,1.20244221e+00,1.20244221e+00,8.93875636e-02,8.34608816e-01,8.34608816e-01,5.51924750e-02,5.15330370e-01,5.15330370e-01,1.07292094e-01,1.30045483e-01,9.02638861e-02,1.08343946e-01
0.6200,1.23945588e-01,1.19572264e+00,1.19572264e+00,8.55268947e-02,8.25091445e-01,8.25091445e-01,5.25232586e-02,5.06700161e-01,5.06700161e-01,1.02959610e-01,1.25180823e-01,8.63792511e-02,1.03985700e-01
0.6300,1.16173843e-01,1.15737812e+00,1.15737812e+00,8.08577893e-02,8.05543093e-01,8.05543093e-01,4.94213854e-02,4.92358943e-01,4.92358943e-01,9.69203801e-02,1.17350488e-01,8.16767425e-02,9.79020203e-02
0.6400,1.15207199e-01,1.18466404e+00,1.18466404e+00,7.58106057e-02,7.79552836e-01,7.79552836e-01,4.62737160e-02,4.75827969e-01,4.75827969e-01,9.34554842e-02,1.16392766e-01,7.65907527e-02,9.44172100e-02
0.6500,1.17406315e-01,1.24549976e+00,1.24549976e+00,7.24391030e-02,7.68467059e-01,7.68467059e-01,4.59515016e-02,4.87474497e-01,4.87474497e-01,9.22215167e-02,1.18633588e-01,7.31963242e-02,9.31855276e-02
0.6600,1.19678939e-01,1.30918473e+00,1.30918473e+00,7.23451249e-02,7.91393482e-01,7.91393482e-01,4.55071884e-02,4.97809526e-01,4.97809526e-01,9.30493838e-02,1.20949419e-01,7.31131217e-02,9.40371715e-02
0.6700,1.20380154e-01,1.35728074e+00,1.35728074e+00,7.34705565e-02,8.28377170e-01,8.28377170e-01,4.45878693e-02,5.02726191e-01,5.02726191e-01,9.40446537e-02,1.21677649e-01,7.42624453e-02,9.50582966e-02
0.6800,1.22046321e-01,1.41767792e+00,1.41767792e+00,7.51907683e-02,8.73408482e-01,8.73408482e-01,4.37007159e-02,5.07623167e-01,5.07623167e-01,9.57953896e-02,1.23381623e-01,7.60134264e-02,9.68434817e-02
0.6900,1.30362296e-01,1.55939135e+00,1.55939135e+00,7.63608274e-02,9.13426793e-01,9.13426793e-01,4.32147516e-02,5.16934053e-01,5.16934053e-01,9.97726053e-02,1.31809790e-01,7.72087096e-02,1.00880443e-01
0.7000,1.34750661e-01,1.65921176e+00,1.65921176e+00,7.56915729e-02,9.32005430e-01,9.32005430e-01,4.31954316e-02,5.31873962e-01,5.31873962e-01,1.00992522e-01,1.36268811e-01,7.65443416e-02,1.02130340e-01
