T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.5900,3.71814062e-01,3.50141306e+01,3.20191283e+00,4.34342470e-01,4.22607837e+01,3.74122994e+00,2.45498711e-01,2.38501339e+01,2.11319303e+00,4.01863955e-01,3.70165731e-01,4.32514934e-01,4.00127738e-01
0.6000,3.58430239e-01,3.45860829e+01,3.19252442e+00,4.55504831e-01,4.53705786e+01,4.05833564e+00,2.38255396e-01,2.29650315e+01,2.12115683e+00,4.04062749e-01,3.56880202e-01,4.53665956e-01,4.02373456e-01
0.6100,3.40615137e-01,3.34093940e+01,3.13743742e+00,4.50220840e-01,4.71039803e+01,4.14495273e+00,2.25891767e-01,2.15739285e+01,2.07798533e+00,3.91601881e-01,3.39317401e-01,4.48281319e-01,3.90012374e-01
0.6200,3.34156532e-01,3.28007550e+01,3.18103237e+00,4.26085827e-01,4.57290435e+01,4.05175305e+00,2.10667561e-01,2.12719396e+01,2.00186707e+00,3.77331899e-01,3.33023928e-01,4.24180128e-01,3.75848549e-01
0.6300,3.23522229e-01,3.13784979e+01,3.18070470e+00,4.04416188e-01,4.24950874e+01,3.97206027e+00,1.98959518e-01,2.17381953e+01,1.95187035e+00,3.61714841e-01,3.22502422e-01,4.02740644e-01,3.60395384e-01
0.6400,3.12036751e-01,2.95544739e+01,3.16536666e+00,3.91741136e-01,3.91870419e+01,3.97010813e+00,1.96082108e-01,2.22973745e+01,1.98506958e+00,3.49624987e-01,3.10996001e-01,3.90061527e-01,3.48292370e-01
0.6500,3.11806755e-01,2.95997051e+01,3.26313895e+00,3.67837808e-01,4.01930196e+01,3.84487091e+00,2.00681342e-01,2.31752893e+01,2.09530626e+00,3.38665489e-01,3.10813292e-01,3.66223138e-01,3.37382600e-01
0.6600,3.17505832e-01,3.10467702e+01,3.42621698e+00,3.85905471e-01,3.99578387e+01,4.15877866e+00,2.05875424e-01,2.40163828e+01,2.21515767e+00,3.50038909e-01,3.16532073e-01,3.84210000e-01,3.48733118e-01
0.6700,3.24442195e-01,3.22254621e+01,3.60184375e+00,4.20990548e-01,3.90995770e+01,4.67403226e+00,2.14008902e-01,2.56400873e+01,2.37292205e+00,3.69576917e-01,3.22898474e-01,4.19018145e-01,3.67831918e-01
0.6800,3.25303198e-01,3.37789702e+01,3.72073247e+00,4.50587304e-01,4.28353507e+01,5.15261692e+00,2.17179717e-01,2.62708256e+01,2.47735693e+00,3.82854400e-01,3.23818270e-01,4.48436299e-01,3.81066748e-01
0.6900,3.35293474e-01,3.67418085e+01,3.94881232e+00,4.72440763e-01,4.68327635e+01,5.56242516e+00,2.10156460e-01,2.69156167e+01,2.46531706e+00,3.98002895e-01,3.33779025e-01,4.70171964e-01,3.96148381e-01
0.7000,3.66346512e-01,3.99161483e+01,4.44002373e+00,4.83899596e-01,5.00487625e+01,5.86431654e+00,1.96098207e-01,2.67226402e+01,2.36522848e+00,4.21040294e-01,3.64653126e-01,4.81628362e-01,4.19079095e-01
0.7100,4.11465347e-01,4.29689989e+01,5.12854616e+00,4.90956303e-01,5.22525203e+01,6.13029781e+00,1.76949635e-01,2.57203057e+01,2.19412275e+00,4.49456901e-01,4.09419290e-01,4.89390579e-01,4.47622546e-01
0.7200,4.56863697e-01,4.74973287e+01,5.85843672e+00,4.99434341e-01,5.32052218e+01,6.39986296e+00,1.54780311e-01,2.40160766e+01,1.97027648e+00,4.77675014e-01,4.54786411e-01,4.96816958e-01,4.75337355e-01
0.7300,5.00863365e-01,5.33292956e+01,6.60282088e+00,5.00262433e-01,5.31886477e+01,6.59180760e+00,1.33205388e-01,2.20024659e+01,1.74045662e+00,5.00562809e-01,4.98625546e-01,4.97793856e-01,4.98209528e-01
0.7400,5.36596453e-01,6.00867855e+01,7.27006852e+00,4.96886680e-01,5.28875380e+01,6.72776687e+00,1.17510446e-01,2.02709364e+01,1.57677643e+00,5.16359981e-01,5.34276158e-01,4.94422497e-01,5.13963182e-01
0.7500,5.57503032e-01,6.50221919e+01,7.75979278e+00,4.91988050e-01,5.31858751e+01,6.84694260e+00,1.09575277e-01,1.92725297e+01,1.50896342e+00,5.23722092e-01,5.55160204e-01,4.89852005e-01,5.21484745e-01
0.7600,5.61013645e-01,6.90526269e+01,8.01862511e+00,4.90452135e-01,5.49696727e+01,7.00376803e+00,1.06832215e-01,1.89387311e+01,1.50937295e+00,5.24547748e-01,5.58680424e-01,4.87972444e-01,5.22130876e-01
0.7700,5.48948324e-01,7.04617471e+01,8.05500586e+00,4.97442239e-01,5.72440671e+01,7.29301497e+00,1.05808740e-01,1.89408986e+01,1.53467428e+00,5.22561081e-01,5.46732813e-01,4.95012749e-01,5.20230442e-01
0.7800,5.25868846e-01,6.97672281e+01,7.92026855e+00,5.12874827e-01,6.05177264e+01,7.71467291e+00,1.04855085e-01,1.90521817e+01,1.56028212e+00,5.19331198e-01,5.23891595e-01,5.10292331e-01,5.17047255e-01
0.7900,4.96954587e-01,6.76055225e+01,7.67791446e+00,5.40266446e-01,6.53998117e+01,8.33875778e+00,1.03590871e-01,1.91803254e+01,1.58057843e+00,5.18158170e-01,4.95085054e-01,5.37697362e-01,5.15951478e-01
