T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.7400,4.16100348e-02,5.72949093e-01,5.72949093e-01,5.81085648e-02,8.00125490e-01,8.00125490e-01,2.25578568e-02,3.10610257e-01,3.10610257e-01,4.91721405e-02,4.21059360e-02,5.88010926e-02,4.97581656e-02
0.7500,4.35367450e-02,6.15889713e-01,6.15889713e-01,5.95295684e-02,8.42131142e-01,8.42131142e-01,2.27833086e-02,3.22302584e-01,3.22302584e-01,5.09089741e-02,4.40627048e-02,6.02487347e-02,5.15239965e-02
0.7600,4.54047332e-02,6.59663934e-01,6.59663934e-01,6.09180719e-02,8.85049910e-01,8.85049910e-01,2.26942169e-02,3.29713564e-01,3.29713564e-01,5.25924786e-02,4.59606631e-02,6.16639452e-02,5.32364143e-02
0.7700,4.75323567e-02,7.08981982e-01,7.08981982e-01,6.16506872e-02,9.19567837e-01,9.19567837e-01,2.28626500e-02,3.41014165e-01,3.41014165e-01,5.41331918e-02,4.81220896e-02,6.24155859e-02,5.48048211e-02
0.7800,5.15080643e-02,7.88494772e-01,7.88494772e-01,6.13318661e-02,9.38879308e-01,9.38879308e-01,2.34676509e-02,3.59247047e-01,3.59247047e-01,5.62057444e-02,5.21555275e-02,6.21028158e-02,5.69122580e-02
0.7900,5.44331022e-02,8.54912459e-01,8.54912459e-01,5.99547567e-02,9.41634162e-01,9.41634162e-01,2.42339449e-02,3.80612176e-01,3.80612176e-01,5.71272562e-02,5.51262173e-02,6.07181810e-02,5.78546769e-02
0.8000,5.61046596e-02,9.03760363e-01,9.03760363e-01,5.75767050e-02,9.27472765e-01,9.27472765e-01,2.49751861e-02,4.02312097e-01,4.02312097e-01,5.68359168e-02,5.68282190e-02,5.83192488e-02,5.75689069e-02
0.8100,5.64955023e-02,9.33100265e-01,9.33100265e-01,5.44382210e-02,8.99121459e-01,8.99121459e-01,2.55991293e-02,4.22804531e-01,4.22804531e-01,5.54573227e-02,5.72333286e-02,5.51491794e-02,5.61815905e-02
0.8200,5.56498658e-02,9.42120071e-01,9.42120071e-01,5.09683479e-02,8.62864677e-01,8.62864677e-01,2.58980329e-02,4.38438731e-01,4.38438731e-01,5.32576917e-02,5.63857395e-02,5.16423165e-02,5.39619330e-02
0.8300,5.37605848e-02,9.32619814e-01,9.32619814e-01,4.76683779e-02,8.26934342e-01,8.26934342e-01,2.57209473e-02,4.46197995e-01,4.46197995e-01,5.06229185e-02,5.44802614e-02,4.83065001e-02,5.13005921e-02
0.8400,5.12738920e-02,9.11190906e-01,9.11190906e-01,4.48829726e-02,7.97617557e-01,7.97617557e-01,2.50348472e-02,4.44895526e-01,4.44895526e-01,4.79721241e-02,5.19686618e-02,4.54911444e-02,4.86221544e-02
0.8500,4.87021427e-02,8.86360724e-01,8.86360724e-01,4.26902213e-02,7.76946009e-01,7.76946009e-01,2.46394124e-02,4.48428061e-01,4.48428061e-01,4.55972066e-02,4.93700289e-02,4.32756618e-02,4.62225126e-02
0.8600,4.65205902e-02,8.66835671e-01,8.66835671e-01,4.09533408e-02,7.63099017e-01,7.63099017e-01,2.53748578e-02,4.72819279e-01,4.72819279e-01,4.36482942e-02,4.71661689e-02,4.15216613e-02,4.42540132e-02
0.8700,4.47723161e-02,8.53911393e-01,8.53911393e-01,3.97906077e-02,7.58898717e-01,7.58898717e-01,2.54423153e-02,4.85243668e-01,4.85243668e-01,4.22080284e-02,4.54009596e-02,4.03493035e-02,4.28006670e-02
0.8800,4.32274696e-02,8.43645503e-01,8.43645503e-01,3.92731042e-02,7.66470443e-01,7.66470443e-01,2.54314110e-02,4.96330128e-01,4.96330128e-01,4.12028751e-02,4.38414976e-02,3.98309621e-02,4.17881446e-02
0.8900,4.17749320e-02,8.34066561e-01,8.34066561e-01,3.86445669e-02,7.71566571e-01,7.71566571e-01,2.45778546e-02,4.90714544e-01,4.90714544e-01,4.01792752e-02,4.23751673e-02,3.91998242e-02,4.07565836e-02
0.9000,4.03935340e-02,8.24844217e-01,8.24844217e-01,3.78188080e-02,7.72267787e-01,7.72267787e-01,2.32159473e-02,4.74074387e-01,4.74074387e-01,3.90849755e-02,4.09805369e-02,3.83683948e-02,3.96529623e-02
0.9100,3.90826160e-02,8.16040296e-01,8.16040296e-01,3.68330626e-02,7.69069893e-01,7.69069893e-01,2.17393707e-02,4.53915431e-01,4.53915431e-01,3.79411708e-02,3.96569719e-02,3.73743592e-02,3.84987521e-02
0.9200,3.77944496e-02,8.06712927e-01,8.06712927e-01,3.57670512e-02,7.63438622e-01,7.63438622e-01,2.03302311e-02,4.33943619e-01,4.33943619e-01,3.67667787e-02,3.83560690e-02,3.62985437e-02,3.73131270e-02
0.9300,3.64107878e-02,7.94294328e-01,7.94294328e-01,3.46719781e-02,7.56362530e-01,7.56362530e-01,1.89211883e-02,4.12762081e-01,4.12762081e-01,3.55307478e-02,3.69578156e-02,3.51928824e-02,3.60645540e-02
0.9400,3.48033538e-02,7.75769063e-01,7.75769063e-01,3.35205745e-02,7.47175828e-01,7.47175828e-01,1.74124274e-02,3.88124162e-01,3.88124162e-01,3.41559426e-02,3.53319395e-02,3.40296777e-02,3.46746956e-02
0.9500,3.28887685e-02,7.48894518e-01,7.48894518e-01,3.22512070e-02,7.34376907e-01,7.34376907e-01,1.62968029e-02,3.71086755e-01,3.71086755e-01,3.25684277e-02,3.33936715e-02,3.27463222e-02,3.30684128e-02
0.9600,3.16230821e-02,7.35432262e-01,7.35432262e-01,3.07843561e-02,7.15926695e-01,7.15926695e-01,1.71607539e-02,3.99093675e-01,3.99093675e-01,3.12009010e-02,3.21137440e-02,3.12620044e-02,3.16850123e-02
0.9700,3.03414126e-02,7.20519067e-01,7.20519067e-01,2.93865210e-02,6.97843209e-01,6.97843209e-01,1.80409627e-02,4.28419660e-01,4.28419660e-01,2.98601500e-02,3.08171689e-02,2.98473046e-02,3.03283601e-02
0.9800,2.86790170e-02,6.95268953e-01,6.95268953e-01,2.82124576e-02,6.83958096e-01,6.83958096e-01,1.88121591e-02,4.56065497e-01,4.56065497e-01,2.84447808e-02,2.91334163e-02,2.86594646e-02,2.88954687e-02
0.9900,2.66623388e-02,6.59743737e-01,6.59743737e-01,2.67497037e-02,6.61905530e-01,6.61905530e-01,1.94371259e-02,4.80960135e-01,4.80960135e-01,2.67059855e-02,2.70891649e-02,2.71779283e-02,2.71335103e-02
1.0000,2.43635364e-02,6.15201242e-01,6.15201242e-01,2.54649791e-02,6.43013664e-01,6.43013664e-01,1.99061675e-02,5.02648661e-01,5.02648661e-01,2.49081703e-02,2.47575653e-02,2.58768215e-02,2.53110075e-02
1.0100,2.32223883e-02,5.98269344e-01,5.98269344e-01,2.50262560e-02,6.44741687e-01,6.44741687e-01,2.01882440e-02,5.20101869e-01,5.20101869e-01,2.41074560e-02,2.36017786e-02,2.54351166e-02,2.45013059e-02
1.0200,2.33920143e-02,6.14731318e-01,6.14731318e-01,2.45235686e-02,6.44468041e-01,6.44468041e-01,2.02775905e-02,5.32885702e-01,5.32885702e-01,2.39511099e-02,2.37780220e-02,2.49282489e-02,2.43463437e-02
1.0300,2.40461935e-02,6.44478492e-01,6.44478492e-01,2.39834181e-02,6.42796005e-01,6.42796005e-01,2.02219599e-02,5.41982589e-01,5.41982589e-01,2.40147853e-02,2.44469514e-02,2.43831297e-02,2.44150197e-02
1.0400,2.50228221e-02,6.83850057e-01,6.83850057e-01,2.38394891e-02,6.51510684e-01,6.51510684e-01,2.00743174e-02,5.48612104e-01,5.48612104e-01,2.44239902e-02,2.54439737e-02,2.42407243e-02,2.48350630e-02
1.0500,2.60551501e-02,7.25939429e-01,7.25939429e-01,2.44396781e-02,6.80929719e-01,6.80929719e-01,1.98572144e-02,5.53254725e-01,5.53254725e-01,2.52344899e-02,2.64979647e-02,2.48550374e-02,2.56633572e-02
1.0600,2.70295738e-02,7.67625577e-01,7.67625577e-01,2.54113623e-02,7.21669229e-01,7.21669229e-01,1.95710108e-02,5.55806341e-01,5.55806341e-01,2.62079814e-02,2.74933990e-02,2.58474192e-02,2.66577083e-02
1.0700,2.80669619e-02,8.12328672e-01,8.12328672e-01,2.65017679e-02,7.67028007e-01,7.67028007e-01,1.92019031e-02,5.55751507e-01,5.55751507e-01,2.72731390e-02,2.85532111e-02,2.69609006e-02,2.77456355e-02
1.0800,2.90026116e-02,8.55310419e-01,8.55310419e-01,2.76138054e-02,8.14353402e-01,8.14353402e-01,1.87225335e-02,5.52142620e-01,5.52142620e-01,2.82996903e-02,2.95098486e-02,2.80967530e-02,2.87946336e-02
1.0900,2.98502984e-02,8.96832116e-01,8.96832116e-01,2.86515754e-02,8.60817290e-01,8.60817290e-01,1.81139545e-02,5.44221566e-01,5.44221566e-01,2.92447957e-02,3.03772801e-02,2.91573946e-02,2.97610877e-02
