T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.4400,6.26140556e-01,3.03346118e+00,3.03346118e+00,6.65212298e-01,3.22275193e+00,3.22275193e+00,1.21532525e-01,5.88788243e-01,5.88788243e-01,6.45380816e-01,6.30556226e-01,6.69903510e-01,6.49932173e-01
0.4500,6.36556753e-01,3.22621291e+00,3.22621291e+00,6.82666418e-01,3.45990707e+00,3.45990707e+00,1.28834004e-01,6.52959730e-01,6.52959730e-01,6.59208555e-01,6.41148642e-01,6.87590926e-01,6.63963846e-01
0.4600,6.58576753e-01,3.48837007e+00,3.48837007e+00,6.88393037e-01,3.64630190e+00,3.64630190e+00,1.29307842e-01,6.84921847e-01,6.84921847e-01,6.73319873e-01,6.63433836e-01,6.93470019e-01,6.78285688e-01
0.4700,6.61284370e-01,3.65724539e+00,3.65724539e+00,6.87267433e-01,3.80094520e+00,3.80094520e+00,1.28076874e-01,7.08331510e-01,7.08331510e-01,6.74150734e-01,6.66268245e-01,6.92447134e-01,6.79231578e-01
0.4800,6.43496763e-01,3.71251840e+00,3.71251840e+00,6.95195647e-01,4.01078418e+00,4.01078418e+00,1.28087758e-01,7.38975213e-01,7.38975213e-01,6.68846880e-01,6.48450560e-01,7.00547435e-01,6.73995829e-01
0.4900,7.15715463e-01,4.30370002e+00,4.30370002e+00,7.11475581e-01,4.27820500e+00,4.27820500e+00,1.27720668e-01,7.68002744e-01,7.68002744e-01,7.13592373e-01,7.21340907e-01,7.17067699e-01,7.19201129e-01
0.5000,8.07642011e-01,5.05752468e+00,5.05752468e+00,7.70407828e-01,4.82436098e+00,4.82436098e+00,1.28587752e-01,8.05227713e-01,8.05227713e-01,7.88805253e-01,8.14120576e-01,7.76587717e-01,7.95132718e-01
0.5100,8.50163809e-01,5.53977016e+00,5.53977016e+00,8.43496386e-01,5.49632442e+00,5.49632442e+00,1.30526023e-01,8.50523345e-01,8.50523345e-01,8.46823536e-01,8.57120976e-01,8.50398991e-01,8.53753368e-01
0.5200,8.12612509e-01,5.50565081e+00,5.50565081e+00,8.98267580e-01,6.08598510e+00,6.08598510e+00,1.39640618e-01,9.46099739e-01,9.46099739e-01,8.54367294e-01,8.19393860e-01,9.05763732e-01,8.61497093e-01
0.5300,7.13573043e-01,5.02317547e+00,5.02317547e+00,8.93632666e-01,6.29069964e+00,6.29069964e+00,1.46919091e-01,1.03423242e+00,1.03423242e+00,7.98543788e-01,7.19643387e-01,9.01234773e-01,8.05336976e-01
0.5400,6.86202536e-01,5.01530936e+00,5.01530936e+00,8.64090404e-01,6.31545421e+00,6.31545421e+00,1.40592145e-01,1.02755829e+00,1.02755829e+00,7.70026640e-01,6.92151136e-01,8.71581092e-01,7.76701901e-01
0.5500,6.26653938e-01,4.75204742e+00,4.75204742e+00,7.96791077e-01,6.04223280e+00,6.04223280e+00,1.29713362e-01,9.83643456e-01,9.83643456e-01,7.06620312e-01,6.32187808e-01,8.03827398e-01,7.12860351e-01
0.5600,5.61753279e-01,4.41691477e+00,4.41691477e+00,7.62202473e-01,5.99299281e+00,5.99299281e+00,1.17391684e-01,9.23019201e-01,9.23019201e-01,6.54346803e-01,5.66805029e-01,7.69056828e-01,6.60231230e-01
0.5700,5.11093303e-01,4.16406019e+00,4.16406019e+00,7.39481857e-01,6.02482354e+00,6.02482354e+00,1.12777282e-01,9.18836910e-01,9.18836910e-01,6.14771685e-01,5.15772303e-01,7.46251727e-01,6.20399848e-01
0.5800,4.69726733e-01,3.96312818e+00,3.96312818e+00,7.13297402e-01,6.01815660e+00,6.01815660e+00,1.17045650e-01,9.87525049e-01,9.87525049e-01,5.78839233e-01,4.74103173e-01,7.19943188e-01,5.84232274e-01
0.5900,4.39834748e-01,3.84060979e+00,3.84060979e+00,6.75399466e-01,5.89754633e+00,5.89754633e+00,1.19065085e-01,1.03966895e+00,1.03966895e+00,5.45035919e-01,4.44004008e-01,6.81801680e-01,5.50202398e-01
0.6000,4.14777099e-01,3.74622344e+00,3.74622344e+00,6.30642416e-01,5.69589644e+00,5.69589644e+00,1.15951835e-01,1.04726486e+00,1.04726486e+00,5.11445043e-01,4.18776117e-01,6.36722670e-01,5.16376071e-01
0.6100,3.86044411e-01,3.60448430e+00,3.60448430e+00,5.85120791e-01,5.46325407e+00,5.46325407e+00,1.13573474e-01,1.06043188e+00,1.06043188e+00,4.75271092e-01,3.89829048e-01,5.90857098e-01,4.79930474e-01
0.6200,3.49217568e-01,3.36895697e+00,3.36895697e+00,5.40816553e-01,5.21734260e+00,5.21734260e+00,1.10479615e-01,1.06581427e+00,1.06581427e+00,4.34583296e-01,3.52697852e-01,5.46206301e-01,4.38914330e-01
0.6300,3.14967844e-01,3.13785689e+00,3.13785689e+00,4.89728804e-01,4.87890726e+00,4.87890726e+00,1.09426526e-01,1.09015820e+00,1.09015820e+00,3.92745243e-01,3.18157938e-01,4.94688932e-01,3.96723090e-01
0.6400,2.91669774e-01,2.99921096e+00,2.99921096e+00,4.28142370e-01,4.40254495e+00,4.40254495e+00,1.05475107e-01,1.08458992e+00,1.08458992e+00,3.53378251e-01,2.94671270e-01,4.32548271e-01,3.57014773e-01
0.6500,3.00455682e-01,3.18737098e+00,3.18737098e+00,3.67294012e-01,3.89642248e+00,3.89642248e+00,1.01502937e-01,1.07678947e+00,1.07678947e+00,3.32198093e-01,3.03596409e-01,3.71133414e-01,3.35670630e-01
0.6600,3.11189377e-01,3.40414430e+00,3.40414430e+00,3.16401684e-01,3.46116246e+00,3.46116246e+00,1.00733912e-01,1.10194241e+00,1.10194241e+00,3.13784708e-01,3.14492881e-01,3.19760521e-01,3.17115763e-01
0.6700,3.10773644e-01,3.50395865e+00,3.50395865e+00,3.08845477e-01,3.48221865e+00,3.48221865e+00,1.02371653e-01,1.15423571e+00,1.15423571e+00,3.09808060e-01,3.14123260e-01,3.12174310e-01,3.13147269e-01
0.6800,3.08112007e-01,3.57899841e+00,3.57899841e+00,3.04921474e-01,3.54193750e+00,3.54193750e+00,1.03663618e-01,1.20414627e+00,1.20414627e+00,3.06512589e-01,3.11483044e-01,3.08257603e-01,3.09866127e-01
0.6900,3.00789765e-01,3.59804155e+00,3.59804155e+00,2.94121908e-01,3.51828078e+00,3.51828078e+00,1.03233746e-01,1.23488015e+00,1.23488015e+00,2.97437152e-01,3.04129622e-01,2.97387728e-01,3.00739784e-01
0.7000,2.89295493e-01,3.56215309e+00,3.56215309e+00,2.79523071e-01,3.44182331e+00,3.44182331e+00,1.01045969e-01,1.24419917e+00,1.24419917e+00,2.84367306e-01,2.92554801e-01,2.82672279e-01,2.87571091e-01
0.7100,2.76903145e-01,3.50824022e+00,3.50824022e+00,2.78058343e-01,3.52287606e+00,3.52287606e+00,9.81229601e-02,1.24317445e+00,1.24317445e+00,2.77480143e-01,2.80067913e-01,2.81236313e-01,2.80651505e-01
0.7200,2.68080160e-01,3.49336785e+00,3.49336785e+00,2.78708717e-01,3.63186919e+00,3.63186919e+00,1.00278501e-01,1.30673487e+00,1.30673487e+00,2.73342784e-01,2.71187742e-01,2.81939506e-01,2.76511371e-01
0.7300,2.56559700e-01,3.43731030e+00,3.43731030e+00,2.68645802e-01,3.59923628e+00,3.59923628e+00,1.02451059e-01,1.37260871e+00,1.37260871e+00,2.62533210e-01,2.59575529e-01,2.71803702e-01,2.65619257e-01
0.7400,2.46180790e-01,3.38978473e+00,3.38978473e+00,2.54132923e-01,3.49928156e+00,3.49928156e+00,1.06913813e-01,1.47214902e+00,1.47214902e+00,2.50125256e-01,2.49114731e-01,2.57161635e-01,2.53106206e-01
